+#% total to Cold Resistance
+#% total to Fire Resistance
+#% total to Lightning Resistance
+#% total Elemental Resistance
+#% total to Chaos Resistance
+#% total Resistance
# total Resistances
# total Elemental Resistances
+#% total to all Elemental Resistances
+# total to Strength
+# total to Dexterity
+# total to Intelligence
+# total to all Attributes
+# total maximum Life
+# total maximum Mana
+# total maximum Energy Shield
#% total increased maximum Energy Shield
+#% total Attack Speed
+#% total Cast Speed
#% increased Movement Speed
#% total increased Physical Damage
+#% Global Critical Strike Chance
+#% total Critical Strike Chance for Spells
+#% Global Critical Strike Multiplier
Adds # to # Physical Damage
Adds # to # Lightning Damage
Adds # to # Cold Damage
Adds # to # Fire Damage
Adds # to # Elemental Damage
Adds # to # Chaos Damage
Adds # to # Damage
Adds # to # Physical Damage to Attacks
Adds # to # Lightning Damage to Attacks
Adds # to # Cold Damage to Attacks
Adds # to # Fire Damage to Attacks
Adds # to # Elemental Damage to Attacks
Adds # to # Chaos Damage to Attacks
Adds # to # Damage to Attacks
Adds # to # Physical Damage to Spells
Adds # to # Lightning Damage to Spells
Adds # to # Cold Damage to Spells
Adds # to # Fire Damage to Spells
Adds # to # Elemental Damage to Spells
Adds # to # Chaos Damage to Spells
Adds # to # Damage to Spells
#% increased Elemental Damage
#% increased Lightning Damage
#% increased Cold Damage
#% increased Fire Damage
#% increased Spell Damage
#% increased Lightning Spell Damage
#% increased Cold Spell Damage
#% increased Fire Spell Damage
#% increased Lightning Damage with Attack Skills
#% increased Cold Damage with Attack Skills
#% increased Fire Damage with Attack Skills
#% increased Elemental Damage with Attack Skills
#% increased Rarity of Items found
#% increased Burning Damage
# Life Regenerated per Second
#% of Life Regenerated per Second
#% of Physical Attack Damage Leeched as Life
#% of Physical Attack Damage Leeched as Mana
#% increased Mana Regeneration Rate
+# total to Level of Socketed Gems
+# total to Level of Socketed Elemental Gems
+# total to Level of Socketed Fire Gems
+# total to Level of Socketed Cold Gems
+# total to Level of Socketed Lightning Gems
+# total to Level of Socketed Chaos Gems
+# total to Level of Socketed Spell Gems
+# total to Level of Socketed Projectile Gems
+# total to Level of Socketed Bow Gems
+# total to Level of Socketed Melee Gems
+# total to Level of Socketed Minion Gems
+# total to Level of Socketed Strength Gems
+# total to Level of Socketed Dexterity Gems
+# total to Level of Socketed Intelligence Gems
+# total to Level of Socketed Aura Gems
+# total to Level of Socketed Movement Gems
+# total to Level of Socketed Curse Gems
+# total to Level of Socketed Vaal Gems
+# total to Level of Socketed Support Gems
+# total to Level of Socketed Skill Gems
+# total to Level of Socketed Warcry Gems
+# total to Level of Socketed Golem Gems
# Implicit Modifiers
# Prefix Modifiers
# Suffix Modifiers
# Modifiers
# Crafted Prefix Modifiers
# Crafted Suffix Modifiers
# Crafted Modifiers
# Fractured Modifiers
# Notable Passive Skills
+#% Quality to Elemental Damage Modifiers
+#% Quality to Caster Modifiers
+#% Quality to Attack Modifiers
+#% Quality to Defence Modifiers
+#% Quality to Life and Mana Modifiers
+#% Quality to Resistance Modifiers
+#% Quality to Attribute Modifiers
Explicit
Explicit
# to maximum Life
#% to Cold Resistance
#% to Fire Resistance
#% to Lightning Resistance
# to maximum Mana
# to Strength
# to maximum Energy Shield
# to Dexterity
# to Intelligence
#% to all Elemental Resistances
#% increased Rarity of Items found
Regenerate # Life per second
Adds # to # Physical Damage to Attacks
#% increased Stun and Block Recovery
#% increased Movement Speed
#% increased Attack Speed (Local)
#% increased Mana Regeneration Rate
# to Accuracy Rating
#% to Global Critical Strike Multiplier
#% increased Physical Damage
# to maximum Energy Shield (Local)
#% increased Attack Speed
#% increased Spell Damage
Adds # to # Physical Damage (Local)
# Added Passive Skills are Jewel Sockets
#% to Chaos Resistance
Adds # to # Lightning Damage to Attacks
#% increased Cast Speed
#% increased Global Critical Strike Chance
Adds # to # Cold Damage to Attacks
#% increased Fire Damage
#% increased Evasion Rating (Local)
#% increased Energy Shield (Local)
#% increased Elemental Damage with Attack Skills
#% increased maximum Life
#% increased Cold Damage
Adds # to # Fire Damage to Attacks
#% increased maximum Energy Shield
# to Evasion Rating
#% increased Global Physical Damage
#% increased Light Radius
#% increased Critical Strike Chance
#% increased Lightning Damage
#% of Physical Attack Damage Leeched as Life
# Life gained on Kill
# to all Attributes
#% increased Stun Duration on Enemies
Adds # to # Lightning Damage (Local)
# Mana gained on Kill
# to Accuracy Rating (Local)
# to Armour (Local)
Adds # to # Cold Damage (Local)
#% increased Armour and Energy Shield (Local)
#% increased Armour (Local)
# to Armour
#% of Physical Attack Damage Leeched as Mana
#% increased Armour and Evasion (Local)
# to Evasion Rating (Local)
#% increased Global Accuracy Rating
Adds # to # Fire Damage (Local)
#% increased maximum Mana
#% increased Projectile Speed
# Life gained for each Enemy hit by your Attacks
#% increased Projectile Damage
#% increased Armour
#% increased Evasion and Energy Shield (Local)
#% reduced Enemy Stun Threshold
Reflects # Physical Damage to Melee Attackers
#% more Monster Life
#% increased Area Damage
#% increased Critical Strike Chance for Spells
#% increased Evasion Rating
#% increased Damage
#% increased Burning Damage
#% increased Melee Damage
#% chance to Ignite
Adds # to # Lightning Damage to Spells
#% reduced Mana Cost of Skills
Minions deal #% increased Damage
Minions have #% increased maximum Life
#% increased Monster Damage
#% increased Attack and Cast Speed
#% increased Damage with Bleeding
Adds # to # Fire Damage to Spells
# Life gained for each Enemy hit by Attacks
#% increased Quantity of Items found
#% increased Attribute Requirements
#% to Fire and Lightning Resistances
#% increased Damage with Poison
Adds # to # Cold Damage to Spells
#% increased Damage over Time
#% to Fire and Cold Resistances
#% increased Area of Effect
# to Level of Socketed Gems
#% increased Monster Attack Speed
#% chance to Shock
# to Level of Socketed Minion Gems
#% increased Chaos Damage
Attacks have #% chance to cause Bleeding
#% increased Attack Speed while Dual Wielding
#% increased Monster Movement Speed
# to Strength and Intelligence
Area contains many Totems
#% Chance to Block Attack Damage while Dual Wielding
Rare Monsters each have a Nemesis Mod
#% increased Duration
#% increased Poison Duration
# to Dexterity and Intelligence
